expert_name,expert_role,experience_years,ticker,decision,preference,comment,chosen_label,method_for_a,method_for_b,chosen_method,survey_variant,actionability_choice,trust_score,confidence_score,mechanics_feedback,timestamp
Anonymous,Portfolio Manager,5,MBG.DE,"decision_a:HOLD|decision_b:BUY|features:volatility,momentum,volume_avg,return_1y|attention:fail",No,,No,FEATURE_IMPORTANCE,COUNTERFACTUAL,No,minimal_unbiased_single_page_v3_counterfactual,,5,5,"Yes, highly accurate",2026-05-30T17:56:49.935947
Anonymous,Portfolio Manager,5,ADS.DE,"decision_a:HOLD|decision_b:BUY|features:volatility,momentum,volume_avg,return_1y|attention:pass",B,,B,FEATURE_IMPORTANCE,COUNTERFACTUAL,COUNTERFACTUAL,minimal_unbiased_single_page_v3_counterfactual,,6,6,"Yes, highly accurate",2026-05-30T18:06:49.589940
Anonymous,Portfolio Manager,5,AIR.DE,"decision_a:HOLD|decision_b:BUY|features:volatility,momentum,volume_avg,return_1y|attention:fail",A,"Reason: Clearer drivers and explanation
---
",A,COUNTERFACTUAL,FEATURE_IMPORTANCE,COUNTERFACTUAL,minimal_unbiased_single_page_v3_counterfactual,,6,7,"Yes, highly accurate",2026-05-30T18:59:13.557868
Anonymous,Portfolio Manager,5,ADS.DE,"decision_a:HOLD|decision_b:BUY|features:volatility,momentum,volume_avg,return_1y|attention:fail",No,,No,FEATURE_IMPORTANCE,COUNTERFACTUAL,No,minimal_unbiased_single_page_v3_counterfactual,,4,1,"Yes, highly accurate",2026-05-30T20:23:58.691827
Anonymous,Portfolio Manager,5,ADS.DE,"decision_a:BUY|decision_b:HOLD|features:volatility,momentum,volume_avg,return_1y|attention:fail",No,.,No,COUNTERFACTUAL,FEATURE_IMPORTANCE,No,minimal_unbiased_single_page_v3_counterfactual,,5,5,"Yes, highly accurate",2026-05-30T22:20:30.172588
Anonymous,Portfolio Manager,5,ADS.DE,"decision_a:BUY|decision_b:HOLD|features:volatility,momentum,volume_avg,return_1y|attention:fail",No,,No,COUNTERFACTUAL,FEATURE_IMPORTANCE,No,minimal_unbiased_single_page_v3_counterfactual,,5,5,"Yes, highly accurate",2026-05-30T22:20:34.013217
Anonymous,Portfolio Manager,5,ADS.DE,"decision_a:BUY|decision_b:HOLD|features:volatility,momentum,volume_avg,return_1y|attention:fail",No,.,No,COUNTERFACTUAL,FEATURE_IMPORTANCE,No,minimal_unbiased_single_page_v3_counterfactual,,5,5,"Yes, highly accurate",2026-05-30T22:20:36.568587
Anonymous,Portfolio Manager,5,ADS.DE,"decision_a:BUY|decision_b:HOLD|features:volatility,momentum,volume_avg,return_1y|attention:fail",No,,No,COUNTERFACTUAL,FEATURE_IMPORTANCE,No,minimal_unbiased_single_page_v3_counterfactual,,5,5,"Yes, highly accurate",2026-05-30T22:20:39.835739
Anonymous,Portfolio Manager,5,ADS.DE,"decision_a:BUY|decision_b:HOLD|features:volatility,momentum,volume_avg,return_1y|attention:fail",No,Jo,No,COUNTERFACTUAL,FEATURE_IMPORTANCE,No,minimal_unbiased_single_page_v3_counterfactual,,6,5,"Yes, highly accurate",2026-05-30T22:20:53.145072
Anonymous,Portfolio Manager,5,ADS.DE,"decision_a:HOLD|decision_b:BUY|features:volatility,momentum,volume_avg,return_1y|attention:fail",No,,No,FEATURE_IMPORTANCE,COUNTERFACTUAL,No,minimal_unbiased_single_page_v3_counterfactual,,5,1,"Yes, highly accurate",2026-05-31T02:02:04.272997
Anonymous,Portfolio Manager,5,ADS.DE,"decision_a:HOLD|decision_b:BUY|features:volatility,momentum,volume_avg,return_1y|attention:fail",No,,No,FEATURE_IMPORTANCE,COUNTERFACTUAL,No,minimal_unbiased_single_page_v3_counterfactual,,5,5,"Yes, highly accurate",2026-05-31T02:02:07.639339
Anonymous,Portfolio Manager,5,ALV.DE,"decision_a:BUY|decision_b:HOLD|features:volatility,momentum,volume_avg,return_1y|attention:fail",B,,B,FEATURE_IMPORTANCE,COUNTERFACTUAL,COUNTERFACTUAL,minimal_unbiased_single_page_v3_counterfactual,,6,5,Somewhat accurate,2026-05-31T04:01:03.141470
Anonymous,Portfolio Manager,5,ALV.DE,"decision_a:BUY|decision_b:HOLD|features:volatility,momentum,volume_avg,return_1y|attention:pass",No,,No,FEATURE_IMPORTANCE,COUNTERFACTUAL,No,minimal_unbiased_single_page_v3_counterfactual,,5,5,"Yes, highly accurate",2026-05-31T04:01:15.201937
Anonymous,Portfolio Manager,5,ADS.DE,"decision_a:HOLD|decision_b:BUY|features:volatility,momentum,volume_avg,return_1y|attention:fail",No,,No,FEATURE_IMPORTANCE,COUNTERFACTUAL,No,minimal_unbiased_single_page_v3_counterfactual,,5,5,"Yes, highly accurate",2026-06-01T08:05:57.400732
Jegatheesh Kannan,Portfolio Manager,5,BAS.DE,"decision_a:BUY|decision_b:HOLD|features:volatility,momentum,volume_avg,return_1y|attention:pass",A,"Reason: It beeter matched my intuition and it considers most factors that affect the price of a security.
---
",A,COUNTERFACTUAL,FEATURE_IMPORTANCE,COUNTERFACTUAL,minimal_unbiased_single_page_v3_counterfactual,,6,5,"Yes, highly accurate",2026-06-01T10:32:16.022530
